Date,META,TSLA,^VIX,MSFT,ORCL,SPY,GOOGL,NVDA,AAPL,AMZN
2019-11-19,197.9373321533203,23.968000411987305,12.859999656677246,141.9842071533203,51.442195892333984,284.4427185058594,65.13733673095703,5.172810077667236,64.1902084350586,87.6395034790039
2019-11-20,196.13987731933594,23.481332778930664,12.779999732971191,141.73785400390625,51.414764404296875,283.3850402832031,64.60486602783203,5.252145290374756,63.442962646484375,87.27649688720703
2019-11-21,196.55699157714844,23.655332565307617,13.130000114440918,141.60528564453125,51.40562438964844,282.92901611328125,64.5195083618164,5.2272748947143555,63.158504486083984,86.7354965209961
2019-11-22,197.44081115722656,22.202667236328125,12.34000015258789,141.70950317382812,51.55188751220703,283.5582580566406,64.19843292236328,5.244933605194092,63.10305404663086,87.28600311279297
2019-11-25,198.40411376953125,22.422666549682617,11.869999885559082,143.2630615234375,51.70730209350586,285.7558898925781,64.7924575805664,5.501596927642822,64.20950317382812,88.69200134277344
2019-11-26,197.58978271484375,21.92799949645996,11.539999961853027,144.02090454101562,51.661598205566406,286.40325927734375,65.15768432617188,5.396892070770264,63.708126068115234,89.84700012207031
2019-11-27,200.5987548828125,22.086000442504883,11.75,144.29566955566406,51.753013610839844,287.67999267578125,65.11450958251953,5.431735515594482,64.5638656616211,90.92549896240234
2019-11-29,200.24127197265625,21.996000289916992,12.619999885559082,143.40518188476562,51.323341369628906,286.6130065917969,64.71553039550781,5.394404411315918,64.421630859375,90.04000091552734
2019-12-02,198.31471252441406,22.32466697692871,14.90999984741211,141.6715850830078,50.67425537109375,284.1783142089844,63.959747314453125,5.207987308502197,63.67678451538086,89.08000183105469
2019-12-03,197.44081115722656,22.413333892822266,15.960000038146973,141.4442138671875,49.90631866455078,282.2724609375,64.25153350830078,5.168413162231445,62.54140853881836,88.49800109863281
2019-12-04,197.33157348632812,22.20199966430664,14.800000190734863,141.9557647705078,49.74178695678711,284.01416015625,65.45244598388672,5.212217330932617,63.09343338012695,88.03450012207031
2019-12-05,197.97706604003906,22.024667739868164,14.520000457763672,142.03152465820312,49.98859786987305,284.52484130859375,65.85044860839844,5.195293426513672,64.0190658569336,87.02400207519531
2019-12-06,199.6553497314453,22.392667770385742,13.619999885559082,143.7556610107422,50.1257438659668,287.1236877441406,66.46728515625,5.280661106109619,65.25567626953125,87.58000183105469
2019-12-09,199.9433135986328,22.635332107543945,15.859999656677246,143.38626098632812,50.56455993652344,286.220947265625,66.64594268798828,5.280661106109619,64.34209442138672,87.47550201416016
2019-12-10,199.4766082763672,23.256000518798828,15.680000305175781,143.16831970214844,51.030799865722656,285.90179443359375,66.64098358154297,5.325711250305176,64.71812438964844,86.96050262451172
2019-12-11,200.85694885253906,23.51333236694336,14.989999771118164,143.70831298828125,51.478755950927734,286.7133483886719,66.7084732055664,5.409337043762207,65.27014923095703,87.43599700927734
2019-12-12,195.38516235351562,23.978666305541992,13.9399995803833,145.16717529296875,51.625022888183594,289.18450927734375,66.91888427734375,5.576837539672852,65.43647003173828,88.0165023803711
2019-12-13,192.76348876953125,23.892667770385742,12.630000114440918,146.38919067382812,49.83319091796875,289.3578186035156,66.8384780883789,5.574848175048828,66.3259506225586,88.0469970703125
2019-12-16,196.5470428466797,25.433332443237305,12.140000343322754,147.33657836914062,49.35781478881836,291.3457336425781,67.52481842041016,5.603718280792236,67.4613265991211,88.46050262451172
2019-12-17,197.0137939453125,25.266000747680664,12.289999961853027,146.54078674316406,48.30647659301758,291.4095153808594,67.23648071289062,5.681869029998779,67.59388732910156,89.53299713134766
2019-12-18,201.0952911376953,26.209999084472656,12.579999923706055,146.23760986328125,48.80928421020508,291.4278564453125,67.0886001586914,5.712233543395996,67.4323959350586,89.20149993896484
2019-12-19,204.63058471679688,26.93600082397461,12.5,147.50706481933594,48.672149658203125,292.6223449707031,67.31340026855469,5.860321998596191,67.4999008178711,89.61399841308594
2019-12-20,204.86892700195312,27.03933334350586,12.510000228881836,149.11752319335938,49.00126647949219,293.90533447265625,67.05435180664062,5.957637786865234,67.36007690429688,89.32499694824219
2019-12-23,204.749755859375,27.947999954223633,12.609999656677246,149.11752319335938,49.101829528808594,294.3542175292969,67.02509307861328,5.943949222564697,68.45928955078125,89.6500015258789
2019-12-24,203.6970672607422,28.350000381469727,12.670000076293945,149.0891571044922,48.85498046875,294.3634338378906,66.71739959716797,5.938970565795898,68.52436065673828,89.46050262451172
2019-12-26,206.3485870361328,28.729333877563477,12.649999618530273,150.3111114501953,48.973846435546875,295.93048095703125,67.61264038085938,5.953157901763916,69.88392639160156,93.4384994506836
2019-12-27,206.6564483642578,28.691999435424805,13.430000305175781,150.5858612060547,48.87328338623047,295.8570861816406,67.22407531738281,5.895415306091309,69.85738372802734,93.48999786376953
2019-12-30,202.99205017089844,27.64666748046875,14.819999694824219,149.2880096435547,48.17848587036133,294.22601318359375,66.48316192626953,5.782171726226807,70.2719955444336,92.34449768066406
2019-12-31,203.82620239257812,27.8886661529541,13.779999732971191,149.3922119140625,48.43446350097656,294.9407043457031,66.46728515625,5.856340408325195,70.78543853759766,92.39199829101562
2020-01-02,208.32479858398438,28.68400001525879,12.470000267028809,152.15838623046875,49.32124328613281,297.698974609375,67.9207992553711,5.971077919006348,72.40052032470703,94.90049743652344
2020-01-03,207.22250366210938,29.534000396728516,14.020000457763672,150.2637481689453,49.14753723144531,295.44476318359375,67.56548309326172,5.875504493713379,71.6966552734375,93.74849700927734
2020-01-06,211.12521362304688,30.1026668548584,13.850000381469727,150.65213012695312,49.40352249145508,296.5719299316406,69.36639404296875,5.900144100189209,72.26792907714844,95.14399719238281
2020-01-07,211.58201599121094,31.270666122436523,13.789999961853027,149.27853393554688,49.51322937011719,295.7380065917969,69.2323989868164,5.97157621383667,71.92805480957031,95.34300231933594
2020-01-08,213.72706604003906,32.80933380126953,13.449999809265137,151.6562957763672,49.70606231689453,297.31414794921875,69.72516632080078,5.982775688171387,73.08511352539062,94.59850311279297
2020-01-09,216.7856903076172,32.089332580566406,12.539999961853027,153.5509490966797,49.935630798339844,299.3300476074219,70.45714569091797,6.048481464385986,74.63746643066406,95.05249786376953
2020-01-10,216.54733276367188,31.876667022705078,12.5600004196167,152.8404541015625,49.999916076660156,298.4687194824219,70.9122085571289,6.080838203430176,74.80622100830078,94.15799713134766
2020-01-13,220.3706512451172,34.990665435791016,12.319999694824219,154.67823791503906,50.119285583496094,300.52142333984375,71.46155548095703,6.271484851837158,76.40441131591797,94.56500244140625
2020-01-14,217.54039001464844,35.861331939697266,12.390000343322754,153.58888244628906,50.394752502441406,300.0632019042969,70.99310302734375,6.154508113861084,75.3727035522461,93.47200012207031
2020-01-15,219.6158905029297,34.56666564941406,12.420000076293945,154.58352661132812,50.28456115722656,300.7412414550781,71.42036437988281,6.111948490142822,75.04969787597656,93.10099792480469
2020-01-16,220.23162841796875,34.232666015625,12.319999694824219,157.41604614257812,50.89980697631836,303.2430419921875,71.9642562866211,6.195573806762695,75.98979187011719,93.89700317382812
2020-01-17,220.59902954101562,34.03333282470703,12.100000381469727,158.2970428466797,50.62433624267578,304.1868591308594,73.4212417602539,6.204286575317383,76.83109283447266,93.23600006103516
2020-01-21,219.90390014648438,36.47999954223633,12.850000381469727,157.7286376953125,50.706966400146484,303.5912170410156,73.55671691894531,6.170934677124023,76.3104019165039,94.5999984741211
2020-01-22,219.78475952148438,37.97066879272461,12.90999984741211,156.97084045410156,50.247840881347656,303.62786865234375,73.6371078491211,6.224944591522217,76.5827865600586,94.37300109863281
2020-01-23,218.23553466796875,38.14666748046875,12.979999542236328,157.93704223632812,50.4865837097168,303.9761047363281,73.67781066894531,6.2933878898620605,76.95162200927734,94.22899627685547
2020-01-24,216.4281768798828,37.654666900634766,14.5600004196167,156.3455352783203,49.65096664428711,301.2727966308594,72.75875091552734,6.234151840209961,76.7298355102539,93.08200073242188
2020-01-27,213.3794708251953,37.201332092285156,18.229999542236328,153.73095703125,48.383750915527344,296.4435119628906,71.04967498779297,5.978294372558594,74.47357177734375,91.41699981689453
2020-01-28,216.2792205810547,37.793331146240234,16.280000686645508,156.7434844970703,49.0908203125,299.5500793457031,71.98113250732422,6.1716814041137695,76.58037567138672,92.6624984741211
2020-01-29,221.6814727783203,38.732666015625,16.389999389648438,159.1875,48.85206985473633,299.3026428222656,72.28880310058594,6.111201763153076,78.18341064453125,92.9000015258789
2020-01-30,208.07650756835938,42.72066879272461,15.489999771118164,163.6777801513672,48.95307540893555,300.2739562988281,72.16722869873047,6.117920875549316,78.07009887695312,93.53399658203125
2020-01-31,200.50936889648438,43.371334075927734,18.84000015258789,161.26214599609375,48.163360595703125,294.82159423828125,71.10176849365234,5.884464263916016,74.60859680175781,100.43599700927734
2020-02-03,202.7735595703125,52.0,17.969999313354492,165.19354248046875,48.75105285644531,297.0115966796875,73.57408905029297,5.981531620025635,74.40367126464844,100.20999908447266
