model,OOS_R2_v1_pct,OOS_R2_v2_pct,improvement_pp
hierarchical_bayes,-24.582857409843253,0.1348061390044869,24.71766354884774
rf_pooled,-26.15672286748214,-0.4682687562023863,25.688454111279754
ridge_pooled,-6.233036191536079,-0.18887098982008493,6.044165201715994
lstm_base,-4618.06859949637,,
gru_base,-3334.240605274081,,
transformer_base,-637.8886336413325,,
gru_hybrid_garch11_t_sigma1,-10424.718705821106,,
lstm_hybrid_garch11_t_sigma1,-4756.477060211595,,
