converged,params_finite,max_sigma_pct,n_train,loglik,aic,param_omega,param_alpha[1],param_beta[1],param_nu,ticker,spec,param_gamma[1]
True,True,8.196478883058148,966,-1637.18338793254,3282.36677586508,0.19974598564118667,0.15857847266589548,0.7835697782123279,3.558984909881527,AAPL,garch11_t,
True,True,9.064570704030784,966,-1621.652243313038,3253.304486626076,0.14403017213778324,0.008132501168498658,0.8364392896620352,3.9568930447166366,AAPL,gjr11_t,0.24623168960540404
True,True,7.081336393676836,966,-1618.3803630365646,3246.7607260731293,0.0758152471100274,0.18615693806674605,0.9365535081414377,4.038109451192297,AAPL,egarch11_t,-0.16680569562630146
True,True,6.919385122326232,966,-1694.162543294283,3396.325086588566,0.17314666697897246,0.1777104804254361,0.7690097676728316,4.725995808734097,AMZN,garch11_t,
True,True,8.660081304086107,966,-1684.584528728819,3379.169057457638,0.19342467027637344,0.03942605126602945,0.7795602727508375,4.867042650234992,AMZN,gjr11_t,0.2566659710073713
True,True,7.429009795588771,966,-1685.2000936049799,3380.4001872099598,0.08303875159278785,0.2766641930823847,0.9300040142405022,4.796888222280074,AMZN,egarch11_t,-0.1395239426080576
True,True,4.978095092420246,966,-1555.3957566480408,3118.7915132960816,0.02396144255364394,0.05681702854918671,0.9363156984383646,3.683757003900925,GOOGL,garch11_t,
True,True,5.676534804546315,966,-1550.7617043832886,3111.523408766577,0.042800992989003604,0.01393103433283734,0.9277664080405685,3.7366348885032865,GOOGL,gjr11_t,0.08275983346961388
True,True,5.419924339568156,966,-1549.6447256336305,3109.289451267261,0.033333071467415404,0.12509340187502907,0.9714177635707725,3.7351984583826936,GOOGL,egarch11_t,-0.09606418584375095
True,True,5.190572007377097,966,-1725.847940952715,3459.69588190543,0.019043178107991745,0.023513550292951536,0.9701775735224062,3.5641038648982337,META,garch11_t,
True,True,8.480579910379983,966,-1717.486744836092,3444.973489672184,0.038805081830611786,0.0,0.9513256487946326,3.6405425095966577,META,gjr11_t,0.0718855424734843
True,True,5.606659233208493,966,-1709.323555074025,3428.64711014805,0.02360542502998885,0.05393570535353679,0.9823118889508898,3.8148021079958063,META,egarch11_t,-0.08384544295221562
True,True,9.197460373973726,966,-1528.0791357389994,3064.158271477999,0.08101592470015366,0.15631696381453777,0.8181287206482005,4.206079019150416,MSFT,garch11_t,
True,True,10.450438647610849,966,-1513.9813375836393,3037.9626751672786,0.10026902485547359,1.8490423828715978e-15,0.8330214833002327,4.232625053206914,MSFT,gjr11_t,0.29139771608797954
True,True,8.188275558974942,966,-1510.740755630679,3031.481511261358,0.056187587858088854,0.20462018901467596,0.9445451236766378,4.203039434446535,MSFT,egarch11_t,-0.1824232183844215
True,True,10.721117033432112,966,-2186.1379671794734,4380.275934358947,1.1011858703286634,0.15896825753511204,0.7197023641791233,3.395390685252673,NVDA,garch11_t,
True,True,12.68265787860122,966,-2176.707920923183,4363.415841846366,0.8885412285311846,0.03509784979324823,0.7611218029347513,3.4618128323503607,NVDA,gjr11_t,0.24164903358768516
True,True,10.00513584507704,966,-2173.417674542121,4356.835349084242,0.19743769743193829,0.21755172710306356,0.915787005449045,3.55211798146721,NVDA,egarch11_t,-0.14463999395101151
True,True,13.82265403280398,966,-1433.8518603441216,2875.7037206882433,0.2528753348665582,0.19828498335365816,0.722799066026634,2.8844319367423354,ORCL,garch11_t,
True,True,8.91189528026339,966,-1432.3608550333013,2874.7217100666026,0.2048987816915735,0.0719304292233601,0.7774909263603434,2.9018512939881176,ORCL,gjr11_t,0.15438901008837008
True,True,6.1809241284432,966,-1427.1842624780613,2864.3685249561227,0.06580511389428358,0.1970366073198717,0.9345926744237273,2.9924042674050813,ORCL,egarch11_t,-0.07130558525037835
True,True,6.244972097214022,966,-2293.4763031482717,4594.952606296543,0.07685360511650481,0.015222790323907064,0.9752757513336716,4.201594280998338,TSLA,garch11_t,
True,True,6.852141467121248,966,-2293.095520118498,4596.191040236996,0.10837828266449231,0.011133010262482418,0.9674430424810295,4.192487216353217,TSLA,gjr11_t,0.01577017517244692
True,True,6.54829679900801,966,-2290.8366795143556,4591.673359028711,0.03745340745772748,0.061423929533695215,0.9844463627846408,4.196166717250171,TSLA,egarch11_t,-0.029384781246736484
