feature,train_mean,train_sd,test_mean,z_test_mean,z_test_absmax,frac_test_beyond_3sd,severe_drift
egarch11_t_var1,8.952655054094986e+300,inf,0.000619038402188254,,,,True
SP500_lag1,2575.174176165803,312.18351389883094,5299.740758988016,8.727451840090316,13.956136790894494,1.0,True
DFF_lag1,1.3866943005181347,0.7228256760569955,4.798655126498002,4.720309389937653,5.455403467392782,1.0,True
DGS10_lag1,2.3205388601036265,0.4748184287385232,4.153515312916112,3.8603734435545327,5.6010065720530555,0.8548601864181092,True
vix_level_lag1,14.400487030108359,3.8302361842073034,17.164487371432003,0.7216266069231121,9.902656905946424,0.03195739014647137,False
garch11_t_sigma1,0.01804886630869603,0.00827613119470999,0.023546910827150044,0.6643254425411119,14.320658113350824,0.061917443408788284,False
garch11_t_var1,0.00039424455233761697,0.0004633583101810034,0.0006687732101637191,0.5924759560670487,39.40085549486811,0.06541278295605858,False
ret_vol20,0.016843903186507407,0.009509888790446381,0.022185511932922435,0.5616899276236753,6.5765654319531475,0.05476031957390146,False
gjr11_t_sigma1,0.01793603788499657,0.009289596458044913,0.02295908672553869,0.5407176579981678,9.451873039307904,0.0427762982689747,False
ret_vol10,0.01616852771810807,0.01054127942739795,0.021412128385542142,0.4974349369589209,8.651799466065881,0.046271637816245006,False
ret_vol5,0.015300982012090583,0.011799535379113248,0.02032010887245008,0.4253664825857485,11.528796495108232,0.03994673768308921,False
gjr11_t_var1,0.00040798373190015474,0.0006764104709609509,0.0006388747522038601,0.34134749566441097,15.926705151551852,0.0296271637816245,False
DFF_diff_lag1,0.0013056994818652849,0.03483055154308932,-0.0009187749667110518,-0.06386561079357042,14.392700582466908,0.013315579227696404,False
ret_lag1,0.0010588131267724964,0.019207681121706326,0.0017695501397889221,0.037002749499690096,15.93370470135958,0.0329560585885486,False
ret_lag2,0.0010558347979334937,0.019208826312911067,0.0017618812716457062,0.036756356802375205,15.932909816268987,0.0329560585885486,False
ret_t,0.0010132495144056267,0.01919287756419159,0.0017114944919739508,0.03638042160343111,15.948368428848852,0.0327896138482024,False
ret,0.0010146740181377345,0.01918368985029904,0.0017114944919739508,0.03632358942799286,15.955932382581292,0.0327896138482024,False
ret_lag3,0.0010381141520850554,0.019202236013819228,0.0017134079280968612,0.03516745526540861,15.93930090982979,0.033288948069241014,False
sp500_ret_lag1,0.0005356525661149477,0.007837533717337223,0.0008059595955954655,0.03448878680835248,11.52904119349672,0.017310252996005325,False
mkt_ret_lag1,0.0006110963110347262,0.00783935829556219,0.0008592580074093377,0.0316558686334179,12.660704825525896,0.017310252996005325,False
ret_lag5,0.0010537345292684383,0.019207725942746712,0.0016454583127973787,0.03080655072301203,15.93393192410813,0.03362183754993342,False
ret_lag10,0.0010674193427793514,0.019278182940952265,0.0015539078514793467,0.025235184778050708,15.874987477425798,0.033288948069241014,False
egarch11_t_sigma1,6.677195184234282e+148,2.991601950721941e+150,0.022855013647050355,-0.022319798202507932,0.022319798202507936,0.0,False
DGS10_diff_lag1,0.00014507772020725377,0.03929393275112324,0.00034620505992010624,0.005118534227325569,5.857013070640745,0.06657789613848203,False
vix_ret_lag1,-0.0004407977933239904,0.08103451260878695,-0.0006488895857808503,-0.0025679403226804313,6.843385996649486,0.011984021304926764,False
