Ticker,k,n_test,df,alpha_known,beta_shift_vs_prev_k,RMSE,logscore,CRPS,coverage_50,coverage_80,coverage_90,coverage_95
AAPL,0,751,5.0,False,,0.01611018896619264,2.8455216462576733,0.008104308927661178,0.5086551264980027,0.7976031957390146,0.8841544607190412,0.9347536617842876
AAPL,20,751,5.0,True,3.058700193736818e-05,0.01611193212191849,2.84528193639354,0.00810536373766234,0.5033288948069241,0.7922769640479361,0.8841544607190412,0.9347536617842876
AAPL,60,751,5.0,True,5.715344421631618e-05,0.0161166371876466,2.844729862338306,0.008108747992997507,0.5059920106524634,0.7896138482023968,0.8828229027962716,0.9347536617842876
AAPL,120,751,5.0,True,9.110142034437878e-05,0.016131571573393816,2.84384717311107,0.008116579780170684,0.507323568575233,0.7896138482023968,0.8841544607190412,0.9347536617842876
AAPL,250,751,5.0,True,3.632735745752718e-05,0.016127619011647103,2.844166788951023,0.008113861476409842,0.507323568575233,0.7909454061251664,0.8828229027962716,0.9347536617842876
AMZN,0,751,5.0,False,,0.02004326458308895,2.524194486292739,0.010691547525351994,0.41278295605858856,0.7137150466045273,0.848202396804261,0.914780292942743
AMZN,20,751,5.0,True,1.7712858574647273e-05,0.020042140598181796,2.5242588733230575,0.010690480597155043,0.4141145139813582,0.7177097203728362,0.848202396804261,0.914780292942743
AMZN,60,751,5.0,True,4.5350349316282434e-05,0.02004244596633463,2.5240805118485463,0.010691464728187312,0.41145139813581894,0.7177097203728362,0.8495339547270306,0.914780292942743
AMZN,120,751,5.0,True,0.00010010455263721838,0.020044018567914396,2.524136374875446,0.010693383692048876,0.41278295605858856,0.7190412782956058,0.848202396804261,0.9161118508655126
AMZN,250,751,5.0,True,8.41324991929765e-05,0.02004233301844098,2.524586535578903,0.010690977576021249,0.41145139813581894,0.7190412782956058,0.848202396804261,0.9161118508655126
GOOGL,0,751,5.0,False,,0.019051469431639767,2.5986036225829032,0.010066160495651177,0.46870838881491345,0.7669773635153129,0.8854860186418109,0.9374167776298269
GOOGL,20,751,5.0,True,1.8446249126581105e-05,0.019051569292503436,2.5984671982803165,0.01006692406400319,0.46604527296937415,0.7683089214380826,0.8854860186418109,0.9374167776298269
GOOGL,60,751,5.0,True,2.1869077567538862e-05,0.019051954125174006,2.5983776879274307,0.010066999129938114,0.46604527296937415,0.7683089214380826,0.8854860186418109,0.9374167776298269
GOOGL,120,751,5.0,True,9.168840272674473e-05,0.019056387342633027,2.5978532847740436,0.01007089700497701,0.46870838881491345,0.7669773635153129,0.8854860186418109,0.9360852197070573
GOOGL,250,751,5.0,True,7.412366328734713e-05,0.019056261565884358,2.5979253274775154,0.010069906444614982,0.46870838881491345,0.7656458055925432,0.8841544607190412,0.9360852197070573
META,0,751,5.0,False,,0.023476154622266338,2.484721260990204,0.011522016424248854,0.48202396804260983,0.7936085219707057,0.9094540612516645,0.9454061251664447
META,20,751,5.0,True,2.7575113537411575e-05,0.023477339997690166,2.4846519820223976,0.011522645401989358,0.48468708388814913,0.7936085219707057,0.9094540612516645,0.9454061251664447
META,60,751,5.0,True,3.8053203294862305e-05,0.02347569286365769,2.4846972851827247,0.011522248192539027,0.48468708388814913,0.7909454061251664,0.9081225033288948,0.9454061251664447
META,120,751,5.0,True,0.0001067655452675963,0.023476398396700626,2.484696593224372,0.011522268924250402,0.48202396804260983,0.7936085219707057,0.9094540612516645,0.9454061251664447
META,250,751,5.0,True,5.2966157704188895e-05,0.023479985074364617,2.48445770103236,0.011525057171801708,0.48202396804260983,0.7936085219707057,0.9094540612516645,0.9454061251664447
MSFT,0,751,5.0,False,,0.01454591628413567,2.861621801181669,0.007739651045231224,0.474034620505992,0.7603195739014648,0.8655126498002663,0.9254327563249002
MSFT,20,751,5.0,True,2.624522093998841e-05,0.014547977866645235,2.861493018087984,0.007740799923196577,0.47536617842876167,0.7616511318242344,0.8655126498002663,0.9267643142476698
MSFT,60,751,5.0,True,4.075004982955182e-05,0.014550224152476567,2.8612532645196134,0.0077425062866476385,0.47536617842876167,0.7616511318242344,0.8655126498002663,0.9267643142476698
MSFT,120,751,5.0,True,0.00013090497440209405,0.014551770256030931,2.861387813282095,0.007743178473303664,0.47270306258322237,0.7616511318242344,0.8668442077230359,0.9254327563249002
MSFT,250,751,5.0,True,5.6575112653097794e-05,0.01455792598678167,2.861274119660423,0.007745612884325837,0.46870838881491345,0.7616511318242344,0.8668442077230359,0.9267643142476698
NVDA,0,751,5.0,False,,0.031180345946171077,2.130488637099609,0.016320472634839923,0.4434087882822903,0.7443408788282291,0.8748335552596538,0.9454061251664447
NVDA,20,751,5.0,True,2.156492259791274e-05,0.031178709078510315,2.1303816206195503,0.016319890060583875,0.4434087882822903,0.7443408788282291,0.8735019973368842,0.9454061251664447
NVDA,60,751,5.0,True,3.189665898882798e-05,0.031167025751523452,2.130649044515771,0.016314497256126766,0.4447403462050599,0.7430093209054593,0.8735019973368842,0.9454061251664447
