model,protocol,folds,n,MAE,RMSE,Corr,DirAcc,pred_mean,pred_sd,OOS_R2_vs_ticker_mean,DM_stat_vs_baseline,DM_p_value,seconds
ridge_pooled,fixed,1,6008,0.01649340189649761,0.0247943136844586,0.008396499381995806,0.5292942743009321,0.0009907647444685462,0.0009229338708408969,-0.0010603520657646026,0.9246881061443197,0.35516531162613085,0.1
ridge_pooled,expanding,36,6008,0.01647856482117144,0.02482117615924899,0.009213471552618393,0.5344540612516645,0.0010369030933080603,0.0016128374587037907,-0.0028131073312656074,1.3737103089645404,0.16958289584538,1.1
rf_pooled,fixed,1,6008,0.016533621287584732,0.024823158345679188,0.024348027718725653,0.5159786950732357,0.001162785953300901,0.002178353729392656,-0.0033908898824501765,1.3323881089490603,0.18278322871084685,0.9
rf_pooled,expanding,36,6008,0.016530268064057115,0.024824491063741457,0.02245267902648097,0.5181424766977364,0.0010392024275827582,0.0020866240378455327,-0.0030809795409578733,1.1402096848282848,0.2542444128293495,65.9
