model,split,n,MAE,RMSE,Corr,DirectionalAcc,OOS_R2_vs_baseline
transformer_gru_hybrid_garch11_t_sigma1,train,5784,0.013300519436597824,0.02013002708554268,0.09844573741949422,0.5333679114799447,-0.002486185464519286
transformer_gru_hybrid_garch11_t_sigma1,val,6048,0.021102741360664368,0.030178524553775787,0.026804998329333737,0.5124007936507936,-0.06404204180283002
transformer_gru_hybrid_garch11_t_sigma1,test,6008,0.017027657479047775,0.025312703102827072,0.0010084178474210638,0.4677097203728362,-0.04335746141025898
