Ticker,baseline_ar1,baseline_ticker_mean,baseline_zero,rf_pooled,ridge_pooled
AAPL,-1.272191786854182,0.0,-0.36248363551774077,0.5975084797468333,-0.4174720571069601
AMZN,0.09985358404984712,0.0,-0.3297340924413694,-0.6101638315441082,-0.062997491247474
GOOGL,-0.7753078814652481,0.0,-0.48271231395669023,-0.9124560027545137,-0.24742940526705226
META,-0.005706354478896003,0.0,-0.2713221615890271,0.34883411030158795,0.39454233667018945
MSFT,-2.7587348066217876,0.0,-0.413923768904767,-0.5808403618409175,-0.2967848616053592
NVDA,0.31776761539640264,0.0,-0.9351407465422623,0.007087478250766832,-0.3968277539613485
ORCL,-0.7565047218920817,0.0,-0.11988647428906596,0.17448362275487295,-0.14593062453669425
TSLA,-0.009006767153230122,0.0,-0.15964463326916256,-0.9056778262079623,-0.5756673590085581
MEAN,-0.644978889877397,0.0,-0.38435597831376067,-0.23515304141168009,-0.21857090200790713
