model,n_test,MAE,RMSE,Corr,DirectionalAcc,OOS_R2_vs_baseline,n_vol,QLIKE,MSE_RV,n_prob,avg_logscore,coverage_90,wf_months,wf_RMSE_mean,wf_RMSE_std,wf_OOSR2_mean
bayes_hier_partial_pooling,6008,0.0191559423994544,0.0269246449596682,0.0516767713739163,0.4570572569906791,,,,,6008.0,2.2330239334080813,0.902463382157124,,,,
baseline_ticker_mean,6008,0.0164712554758664,0.0247811787783874,0.0158463659701022,0.5426098535286284,0.0,,,,,,,,,,
ar1_per_ticker,6008,0.0164734826640449,0.0247857959346318,0.0200918119439221,0.5426098535286284,-0.0003726688236458,,,,,,,,,,
baseline_zero,6008,0.0165308299512008,0.024833422932003,,0.4573901464713715,,,,,,,,,,,
ridge_pooled,6008,0.0172240413810362,0.0253227733599619,0.0397939855837163,0.460219707057257,-0.0441877993161652,,,,,,,,,,
rf_pooled,6008,0.0192568349068029,0.0270059823664536,0.0451191080033659,0.4620505992010652,-0.1876159942693949,,,,,,,,,,
gru_base,6008,0.1048150509595871,0.1187743246555328,-0.0367989692516274,0.5419440745672437,-21.972127182318363,,,,,,,,,,
