model,protocol,Ticker,n,RMSE,OOS_R2_pct,DirAcc,DM_stat,DM_p,beats_baseline_5pct,significant_bh,significant_bonferroni
baseline_ar1,fixed,AAPL,751,0.0160620713396451,0.23976223238506567,0.5499334221038615,-0.612542747596756,0.5403643970785792,False,False,False
baseline_ar1,fixed,AMZN,751,0.020060182121807286,-0.0010743502727450505,0.5339547270306259,0.9994800650932696,0.3178845436980735,False,False,False
baseline_ar1,fixed,GOOGL,751,0.019057611252073364,0.01115652521244126,0.5619174434087882,-0.18007497792729749,0.8571423487034129,False,False,False
baseline_ar1,fixed,META,751,0.02351968469703502,0.07707183556165953,0.5366178428761651,-0.38671340197218357,0.6990780863922197,False,False,False
baseline_ar1,fixed,MSFT,751,0.014663259719141002,-1.5605413361266196,0.5406125166444741,1.5129448949411837,0.13071491103202804,False,False,False
baseline_ar1,fixed,NVDA,751,0.031213920996039108,0.36957079950530325,0.5459387483355526,-0.9932920214345932,0.32088801449829596,False,False,False
baseline_ar1,fixed,ORCL,751,0.02676555603467289,0.011498290753531037,0.5499334221038615,-0.17715251363244072,0.8594364239099885,False,False,False
baseline_ar1,fixed,TSLA,751,0.03779656021563201,0.022029020558655965,0.5193075898801598,-0.22761636445695027,0.820006531435469,False,False,False
baseline_ticker_mean,fixed,AAPL,751,0.016081361424743704,0.0,0.5499334221038615,,,False,False,False
baseline_ticker_mean,fixed,AMZN,751,0.020060074364364886,0.0,0.5339547270306259,,,False,False,False
baseline_ticker_mean,fixed,GOOGL,751,0.01905867442463614,0.0,0.559254327563249,,,False,False,False
baseline_ticker_mean,fixed,META,751,0.02352875346582892,0.0,0.5312916111850865,,,False,False,False
baseline_ticker_mean,fixed,MSFT,751,0.014550168522711656,0.0,0.5432756324900133,,,False,False,False
baseline_ticker_mean,fixed,NVDA,751,0.03127176013161225,0.0,0.5539280958721704,,,False,False,False
baseline_ticker_mean,fixed,ORCL,751,0.026767094958113913,0.0,0.5499334221038615,,,False,False,False
baseline_ticker_mean,fixed,TSLA,751,0.037800724009587096,0.0,0.5193075898801598,,,False,False,False
baseline_zero,fixed,AAPL,751,0.016112146465888627,-0.38323257220724827,0.45006657789613846,0.7154968352501646,0.4745247764960199,False,False,False
baseline_zero,fixed,AMZN,751,0.020105238524952634,-0.4507959650150495,0.46604527296937415,1.1411736677026103,0.25416189988828775,False,False,False
baseline_zero,fixed,GOOGL,751,0.019103579254548145,-0.471782348075811,0.440745672436751,2.1465268664869304,0.032151090398355064,False,False,False
baseline_zero,fixed,META,751,0.02358268515696382,-0.45895760073249026,0.46870838881491345,2.424329076942778,0.015572069031586144,False,False,False
baseline_zero,fixed,MSFT,751,0.014581030558277966,-0.42466540374745954,0.4567243675099867,0.75238295769618,0.4520568580405169,False,False,False
baseline_zero,fixed,NVDA,751,0.03142722907017259,-0.9967804706637162,0.44607190412782954,2.268058512832737,0.023609214192605865,False,False,False
baseline_zero,fixed,ORCL,751,0.02678276630860625,-0.11712842260496181,0.45006657789613846,1.0865997218619043,0.27756284550515753,False,False,False
baseline_zero,fixed,TSLA,751,0.03782969397728653,-0.15333605139071782,0.4806924101198402,0.9672569833245239,0.3337273790484616,False,False,False
bayes_hier_horseshoe,fixed,AAPL,751,0.01614006476812171,-0.731411813471472,0.5446071904127829,1.7827756980025748,0.07502720861450562,False,False,False
bayes_hier_horseshoe,fixed,AMZN,751,0.020070033626942842,-0.09931902189255215,0.5272969374167776,0.35489894878796624,0.7227650690983682,False,False,False
bayes_hier_horseshoe,fixed,GOOGL,751,0.01908101807091854,-0.23460963961967618,0.5512649800266312,0.8405856306690773,0.4008480090073232,False,False,False
