model,split,n,MAE,RMSE,Corr,DirectionalAcc,OOS_R2_vs_baseline
transformer_lstm_hybrid_garch11_t_sigma1,train,5784,0.013221027329564095,0.020089413970708847,0.11051141221131326,0.5421853388658368,0.001554954522156149
transformer_lstm_hybrid_garch11_t_sigma1,val,6048,0.01998727396130562,0.029449181631207466,0.047152394421322505,0.5241402116402116,-0.013232815855350077
transformer_lstm_hybrid_garch11_t_sigma1,test,6008,0.018584325909614563,0.026438415050506592,0.03004239328354651,0.4572237017310253,-0.13822181450403215
