model,l2,dropout,n,MAE,RMSE,Corr,DirAcc,pred_mean,pred_sd,OOS_R2_pct,bias_in_true_sd,dispersion_ratio,scale_sane,DM_stat_vs_baseline,DM_p,seconds
lstm_base,0.0,0.2,6008,0.01720615401133816,0.025577397609181634,-0.016307076533204484,0.5124833555259654,0.0015313893723098986,0.00596489320587954,-6.529229958506266,-0.0072489018,0.24076831,True,6.953509559595834,3.940847648209456e-12,39.9
gru_base,0.0,0.2,6008,0.017509152107802912,0.025766101504889668,0.029547214923049857,0.5198069241011984,0.002270177910374118,0.007827342410371349,-8.106922626476099,0.022571731,0.31594464,True,8.092837452053491,6.661338147750939e-16,48.5
cnn1d_base,0.0,0.2,6008,0.017416494945810553,0.025620072427887067,-0.014498251926306435,0.49184420772303594,-0.0008035972724112492,0.005675927415676998,-6.8850056434863305,-0.10149883,0.22910441,True,10.338423404838894,0.0,7.0
transformer_base,0.0,0.2,6008,0.020682023141778316,0.028854812729405713,-0.01729001105380677,0.5001664447403462,-0.0026346450350597655,0.01371830415590012,-35.57905367620733,-0.17540768,0.5537287,True,15.300844113645864,0.0,39.2
