model_A,model_B,logscore_diff,DM_stat,p_value
"2. zero mean, GARCH variance","1. zero mean, constant variance",0.1527918343264152,-5.523560809389487,3.461382824809789e-08
"3. ridge mean, GARCH variance","1. zero mean, constant variance",0.15475598950681801,-5.594282767836066,2.3131260018516286e-08
"4. Bayesian mean, t tails, calibrated","1. zero mean, constant variance",0.28083803038383515,-7.788964413934331,7.993605777301127e-15
"3. ridge mean, GARCH variance","2. zero mean, GARCH variance",0.0019641551804028268,-2.1800853897767856,0.029289822091015605
"4. Bayesian mean, t tails, calibrated","2. zero mean, GARCH variance",0.12804619605741996,-5.585748407187354,2.4290350175704134e-08
"4. Bayesian mean, t tails, calibrated","3. ridge mean, GARCH variance",0.12608204087701713,-5.5098401912159884,3.7408473207989346e-08
