model,split,n,MAE,RMSE,Corr,DirectionalAcc,OOS_R2_vs_baseline
transformer_lstm_gru_hybrid_garch11_t_sigma1,train,5784,0.01309717446565628,0.020064808428287506,0.08150757036856861,0.5458160442600276,0.003999251644125734
transformer_lstm_gru_hybrid_garch11_t_sigma1,val,6048,0.020281776785850525,0.029648641124367714,0.042828509574012484,0.5178571428571429,-0.027004574071557208
transformer_lstm_gru_hybrid_garch11_t_sigma1,test,6008,0.017674805596470833,0.02607092820107937,-0.04292914422173498,0.4598868175765646,-0.10679978955664282
