model,split,n,avg_logscore,coverage_90,sigma_scale_s
ridge_pooled+garch11_t_sigma1,test,6008,2.3330400003076166,0.9226031957390146,
gru_base+garch11_t_sigma1,test,6008,-14.714680350435923,0.1904127829560586,
gru_hybrid_garch11_t_sigma1+garch11_t_sigma1,test,6008,-28.02912633578803,0.13382157123834887,
ridge_pooled+garch11_t_sigma1,train,6024,2.6348042959526556,0.9249667994687915,1.049609606045953
gru_base+garch11_t_sigma1,train,6024,2.5574910380073144,0.9181606905710491,1.1339777088754606
gru_hybrid_garch11_t_sigma1+garch11_t_sigma1,train,5733,2.3306802256894366,0.9138321995464853,1.4128777666482641
ridge_pooled+garch11_t_sigma1,val,6048,2.266342020127245,0.9077380952380952,
gru_hybrid_garch11_t_sigma1+garch11_t_sigma1,val,6048,-2.2869683019045377,0.43700396825396826,
gru_base+garch11_t_sigma1,val,6048,-23.685024250603355,0.18733465608465608,
