model,protocol,n,MAE,RMSE,Corr,DirAcc,pred_mean,pred_sd,OOS_R2_vs_ticker_mean
baseline_zero,fixed,6008,0.01653082995120083,0.024833422932003028,,0.4573901464713715,0.0,0.0,-0.0042208827226288825
baseline_ticker_mean,fixed,6008,0.016471255475866458,0.0247811787783874,0.015846365970102253,0.5426098535286284,0.0010172660647744982,0.00048344960586262656,0.0
baseline_ar1,fixed,6008,0.016473598294527245,0.02477666281221123,0.028372887852630334,0.5422769640479361,0.0010066894428092533,0.0010340486365280844,0.00036443421323217873
baseline_zero,expanding,6008,0.01653082995120083,0.024833422932003028,,0.4573901464713715,0.0,0.0,-0.0038029277926781013
baseline_ticker_mean,expanding,6008,0.01647056112174113,0.024786337329754847,0.003348965638405153,0.5426098535286284,0.0010618956347332202,0.0005032573380457485,0.0
baseline_ar1,expanding,6008,0.016518808833867454,0.024821654947083847,0.015885204480833918,0.5261318242343542,0.0010201286331343099,0.0018150630198116718,-0.0028517952116560163
