feature,train_mean,train_sd,test_mean,z_test_mean,z_test_absmax,frac_test_beyond_3sd,severe_drift
vix_log_lag1,2.636819353453132,0.23962315944210394,2.818154610262029,0.756751798244734,5.511781519768455,0.018641810918774968,False
garch11_t_sigma1,0.01804886630869603,0.00827613119470999,0.023546910827150044,0.6643254425411119,14.320658113350824,0.061917443408788284,False
ret_vol20,0.016843903186507407,0.009509888790446381,0.022185511932922435,0.5616899276236753,6.5765654319531475,0.05476031957390146,False
ret_vol10,0.01616852771810807,0.01054127942739795,0.021412128385542142,0.4974349369589209,8.651799466065881,0.046271637816245006,False
ret_vol5,0.015300982012090583,0.011799535379113248,0.02032010887245008,0.4253664825857485,11.528796495108232,0.03994673768308921,False
DFF_diff_lag1,0.0013056994818652849,0.03483055154308932,-0.0009187749667110518,-0.06386561079357042,14.392700582466908,0.013315579227696404,False
ret_lag1,0.0010588131267724964,0.019207681121706326,0.0017695501397889221,0.037002749499690096,15.93370470135958,0.0329560585885486,False
ret_lag2,0.0010558347979334937,0.019208826312911067,0.0017618812716457062,0.036756356802375205,15.932909816268987,0.0329560585885486,False
ret,0.0010146740181377345,0.01918368985029904,0.0017114944919739508,0.03632358942799286,15.955932382581292,0.0327896138482024,False
ret_lag3,0.0010381141520850554,0.019202236013819228,0.0017134079280968612,0.03516745526540861,15.93930090982979,0.033288948069241014,False
mkt_ret_lag1,0.0006110963110347262,0.00783935829556219,0.0008592580074093377,0.0316558686334179,12.660704825525896,0.017310252996005325,False
ret_lag5,0.0010537345292684383,0.019207725942746712,0.0016454583127973787,0.03080655072301203,15.93393192410813,0.03362183754993342,False
ret_lag10,0.0010674193427793514,0.019278182940952265,0.0015539078514793467,0.025235184778050708,15.874987477425798,0.033288948069241014,False
DGS10_diff_lag1,0.00014507772020725377,0.03929393275112324,0.00034620505992010624,0.005118534227325569,5.857013070640745,0.06657789613848203,False
vix_ret_lag1,-0.0004407977933239904,0.08103451260878695,-0.0006488895857808503,-0.0025679403226804313,6.843385996649486,0.011984021304926764,False
