k,RMSE,logscore,CRPS,coverage_90,min_beta_shift
0,0.023618001546090627,2.47266973194422,0.012135688663624179,0.8718375499334221,
20,0.023618603451110186,2.472404622353936,0.012136058770421182,0.8718375499334221,1.7712858574647273e-05
60,0.02361830725646077,2.472353716083496,0.012137055771961155,0.8715046604527297,2.1869077567538862e-05
120,0.023622399514249128,2.472201061733903,0.012139616319005465,0.8720039946737683,4.298581924044658e-05
250,0.023623800965088235,2.4722112827645053,0.012139670021390893,0.8715046604527297,3.632735745752718e-05
