ticker,setting,model,n_test,rmse,coverage_90,sigma_scale_s,n_features
AAPL,LOTO,ridge,751,0.019118176755108428,0.8921438082556591,1.0561594043082732,19
AMZN,LOTO,ridge,751,0.02237109921674009,0.8868175765645806,1.0443670324740264,19
GOOGL,LOTO,ridge,751,0.021792581865604368,0.8921438082556591,1.0534834592484155,19
META,LOTO,ridge,751,0.02539826657401184,0.9267643142476698,1.0343126761806938,19
MSFT,LOTO,ridge,751,0.017815005644740704,0.8588548601864181,1.0574644538917581,19
NVDA,LOTO,ridge,751,0.032783261711851266,0.9267643142476698,1.059713957435719,19
ORCL,LOTO,ridge,751,0.02837841664144803,0.9041278295605859,1.05365719601042,19
TSLA,LOTO,ridge,751,0.039134870310740484,0.9201065246338216,1.0374580839886098,19
