model,Ticker,OOS_R2_v1_pct,OOS_R2_v2_pct
ridge_pooled,AAPL,-10.337652790448516,-0.9520990151402176
ridge_pooled,AMZN,-5.693147388853226,0.0766682561810228
ridge_pooled,GOOGL,-9.232274910969608,-0.3991816694269623
ridge_pooled,META,-5.771999681048601,0.13955305235636706
ridge_pooled,MSFT,-10.603627211397026,-0.23058482044138184
ridge_pooled,NVDA,-3.2112763404192,-0.24519116402785812
ridge_pooled,ORCL,-3.3050694041997453,0.1290412550915443
ridge_pooled,TSLA,-1.7092418049527103,-0.029173813153193784
rf_pooled,AAPL,-41.65931017758202,-0.6368859444222164
rf_pooled,AMZN,-26.29658811048308,-0.18759410115103403
rf_pooled,GOOGL,-34.17238722830158,-1.308036010181901
rf_pooled,META,-23.137065630836506,-0.7273309081234469
rf_pooled,MSFT,-47.43031485424205,-0.5458652778507433
rf_pooled,NVDA,-14.61962070019387,-0.08691781353991068
rf_pooled,ORCL,-14.16265136541275,-0.020899823092412895
rf_pooled,TSLA,-7.775844872805293,-0.23262017125742496
hierarchical_bayes,AAPL,-37.62438210944046,-0.39718695103019286
hierarchical_bayes,AMZN,-23.946337002286878,0.11500997447989603
hierarchical_bayes,GOOGL,-33.52723179181587,0.0762295898992349
hierarchical_bayes,META,-21.258654733678206,0.40363243416189354
hierarchical_bayes,MSFT,-43.15083406500057,-0.07362849332561705
hierarchical_bayes,NVDA,-14.066469042203988,0.719295903310313
hierarchical_bayes,ORCL,-14.78411041070471,0.025883092864653623
hierarchical_bayes,TSLA,-8.304840123615342,0.20921356167571403
