model,n,MAE,RMSE,Corr,DirAcc,pred_mean,pred_sd,OOS_R2_vs_train_mean,logscore,CRPS,coverage_50,coverage_80,coverage_90,coverage_95
bayes_hier_horseshoe,6008,0.01649782475509905,0.02479565559471364,0.006245128828710494,0.5316245006657789,0.0009377075958165291,0.0008468726508144323,-0.0009309665604275708,2.351330751953888,0.012199625115669925,0.5727363515312917,0.8333888149134487,0.9081225033288948,0.943242343541944
ridge_garch,6008,0.0164933997417727,0.02479431224852529,0.008396284914846772,0.5292942743009321,0.0009907710561364031,0.0009228835682822018,-0.0008225152738139396,2.351599035686162,0.012195314519226796,0.5715712383488681,0.8337217043941412,0.9091211717709721,0.9434087882822902
baseline_garch,6008,0.01653082995120083,0.024833422932003028,,0.4573901464713715,0.0,0.0,-0.0039824113253192905,2.349634880505759,0.01222159244044836,0.570572569906791,0.8332223701731025,0.9079560585885486,0.9435752330226365
baseline_gaussian,6008,0.01653082995120083,0.024833422932003028,,0.4573901464713715,0.0,0.0,-0.0039824113253192905,2.196843046179344,0.01245692773671286,0.5476031957390146,0.797936085219707,0.8690079893475366,0.9102862849533955
