model,split,n,MAE,RMSE,Corr,DirectionalAcc,OOS_R2_vs_baseline
transformer_hybrid_garch11_t_sigma1,train,5784,0.014910733327269554,0.021667860448360443,0.01977800252148153,0.5105463347164592,-0.16150676476915393
transformer_hybrid_garch11_t_sigma1,val,6048,0.031756915152072906,0.04154819995164871,0.01773821142626441,0.5160383597883598,-1.016820164549387
transformer_hybrid_garch11_t_sigma1,test,6008,0.09651019424200058,0.10436750203371048,0.05244244180294827,0.4573901464713715,-16.737265275084066
