feature,beta_mean,beta_sd,beta_q2.5,beta_q97.5,excludes_zero,shrinkage_kappa,weight_1_minus_kappa
DFF_diff_lag1,0.0006318796363148861,0.00017609306052984868,0.0002830522415872481,0.0009730647725174508,True,0.10800772605659834,0.8919922739434016
mkt_ret_lag1,-0.0005237379972396767,0.00043766670741120754,-0.001448535602917617,4.1899065869488256e-05,False,0.33263894281385487,0.6673610571861451
vix_ret_lag1,-0.00029696212297781284,0.000332517608364823,-0.0010627435998357261,9.664069716304874e-05,False,0.4422604936014773,0.5577395063985227
ret_vol10,0.00019916850735434544,0.00033215126107227045,-0.00017470849883514727,0.001139065025453741,False,0.542568874833067,0.45743112516693296
DGS10_diff_lag1,0.00010560025608347405,0.00014798015465232223,-0.00010621057682860691,0.0004645303283931928,False,0.5546645085401273,0.4453354914598727
ret_lag10,-0.00017030957811652332,0.0002018719136057708,-0.000644910729165838,9.765503043982739e-05,False,0.5649256882439091,0.4350743117560909
ret_vol5,-0.00017329904396237586,0.0003122224377095822,-0.0010521504094057536,0.00019310647160552345,False,0.5763733325414413,0.4236266674585587
vix_log_lag1,-5.6394655492735594e-05,0.0001386506106152482,-0.0004095625321660758,0.00018264536956336626,False,0.620591721810634,0.37940827818936596
ret_vol20,3.238597119493254e-05,0.00018356037542833746,-0.0003446373649456783,0.0004764948499182616,False,0.6218242616582448,0.3781757383417552
ret_lag2,-9.632143050731713e-05,0.00017461775793524398,-0.0005392094689794919,0.00016181974271850668,False,0.6562341191254032,0.3437658808745968
ret_lag1,-7.172092945863857e-05,0.0001868472941244959,-0.0005573246980180406,0.0002463066809718474,False,0.6627056410099486,0.33729435899005145
ret,-5.734083630402824e-05,0.00015594498343840673,-0.00045698086062217325,0.00020529905786270165,False,0.6927166180873213,0.3072833819126787
ret_lag5,1.4157248127059491e-05,0.00013578657065191525,-0.0002664498070769813,0.00033176621005865433,False,0.6953647988461882,0.3046352011538118
ret_lag3,-3.99401917400386e-06,0.00013531415552378183,-0.00030863390955324506,0.0002945025378083018,False,0.7027338576106127,0.2972661423893873
