model,l2,dropout,n,MAE,RMSE,Corr,DirAcc,pred_mean,pred_sd,OOS_R2_pct,bias_in_true_sd,dispersion_ratio,scale_sane,DM_stat_vs_baseline,DM_p,seconds
lstm_base,0.1,0.2,6008,0.016471988366828956,0.024785692520343947,0.016076410408293898,0.5426098535286284,0.0009632464621614289,2.854084652181932e-10,-0.036432072972369944,-0.03018155,1.1531044e-08,True,0.6623245736090876,0.5077886402577052,256.6
gru_base,0.1,0.2,6008,0.01647361755900279,0.0247870617930728,-0.016290912027973045,0.5426098535286284,0.0009191567774632011,1.3683141318313315e-10,-0.047485299896177224,-0.0319612,6.1972636e-09,True,0.8531656500113518,0.39360146630212856,559.7
cnn1d_base,0.1,0.5,6008,0.01647415138896951,0.02478751382763798,-0.03890442092685594,0.5426098535286284,0.000905130419718705,4.87368092231541e-11,-0.05113440798887314,-0.03252736,3.44796e-09,True,0.9141541622308522,0.36067253670493704,41.6
transformer_base,0.1,0.2,6008,0.016480341573749613,0.024792609541382408,0.03653840898026648,0.5426098535286284,0.0007611684845572898,5.5907597845292004e-08,-0.09227482641536167,-0.03833827,2.256667e-06,True,1.5221240153915796,0.12803064600526648,231.0
