model,split,n,MAE,RMSE,Corr,DirectionalAcc
bayes_hier_partial_pooling,train,6024,0.01282372221140362,0.019754628694483068,0.10597297688988998,0.5393426294820717
bayes_hier_partial_pooling,val,6048,0.019937587816687204,0.029477829852074026,0.004135374126105141,0.5072751322751323
bayes_hier_partial_pooling,test,6008,0.019155942399454416,0.026924644959668283,0.051676771373916304,0.4570572569906791
