rung,df,logscore,CRPS,coverage_50,coverage_80,coverage_90,coverage_95
"1. zero mean, constant variance",inf,2.196843046179344,0.01245692773671286,0.5476031957390146,0.797936085219707,0.8690079893475366,0.9102862849533955
"2. zero mean, GARCH variance",inf,2.349634880505759,0.01222159244044836,0.570572569906791,0.8332223701731025,0.9079560585885486,0.9435752330226365
"3. ridge mean, GARCH variance",inf,2.351599035686162,0.012195314519226796,0.5715712383488681,0.8337217043941412,0.9091211717709721,0.9434087882822902
"4. Bayesian mean, t tails, calibrated",5.0,2.477681076563179,0.012141122111165142,0.5364513981358189,0.8250665778961385,0.9182756324900133,0.9575565912117177
