model,split,n,MAE,RMSE,Corr,DirectionalAcc,OOS_R2_vs_baseline
transformer_gru_base,train,7472,0.013794929720461369,0.02047153376042843,0.05183119503824598,0.5354657387580299,-0.12229897408304713
transformer_gru_base,val,6048,0.021021826192736626,0.030224978923797607,0.00432881717020344,0.4988425925925926,-0.06732030646418252
transformer_gru_base,test,6008,0.016946526244282722,0.0251467265188694,0.037820746303773474,0.48285619174434086,-0.029719617672026466
