MAE,RMSE,MSE,MAE_bps,RMSE_bps,DirectionalAcc,Corr,model,split,n,OOS_R2_vs_baseline
0.0124081019312143,0.0193153533682348,0.0003730828757397,124.08101931214333,193.15353368234892,0.5375264270613108,-0.0240512630031355,lstm_base_v1,train,7568,
0.0197650548070669,0.0292588314765782,0.0008560792193748,197.6505480706692,292.5883147657824,0.521494708994709,0.0441958387279154,lstm_base_v1,val,6048,
0.0166748408228158,0.0249334087801984,0.0006216748734004,166.74840822815895,249.33408780198496,0.5426098535286284,-0.0233648887361066,lstm_base_v1,test,6008,
0.012375708669424057,0.019264274068325482,0.0003711122553795576,123.75708669424057,192.64274068325483,0.537262156448203,0.02757234729843755,cnn1d_base_v1,train,7568,
0.019778359681367874,0.029277503046260245,0.0008571721846237779,197.78359681367874,292.77503046260244,0.5219907407407407,0.019958251227837308,cnn1d_base_v1,val,6048,
0.01650843769311905,0.02481790208436516,0.0006159282638691366,165.0843769311905,248.1790208436516,0.5426098535286284,0.004558340741137722,cnn1d_base_v1,test,6008,
