ticker,setting,model,n_test,rmse,coverage_90,sigma_scale_s,n_features,heldout_train_days_used
AAPL,KSHOT60,ridge,751,0.01912846979428152,0.8921438082556591,1.0549204948218451,19,60
AMZN,KSHOT60,ridge,751,0.022361592339605253,0.8868175765645806,1.0424381429512841,19,60
GOOGL,KSHOT60,ridge,751,0.02172109956500276,0.8921438082556591,1.0507228359189382,19,60
META,KSHOT60,ridge,751,0.02541059503252593,0.9241011984021305,1.0311630235798537,19,60
MSFT,KSHOT60,ridge,751,0.017726432864685004,0.8615179760319573,1.0544044973051445,19,60
NVDA,KSHOT60,ridge,751,0.032756777324172794,0.9280958721704394,1.0582979170511024,19,60
ORCL,KSHOT60,ridge,751,0.028350437213061082,0.9041278295605859,1.0520996957736692,19,60
TSLA,KSHOT60,ridge,751,0.03915933150733407,0.9201065246338216,1.0380586298484795,19,60
