model,gen_total_n_test_KSHOT60,gen_rmse_wavg_KSHOT60,gen_logscore_wavg_KSHOT60,gen_coverage90_wavg_KSHOT60
ridge,6008.0,0.0258268419550835,2.237510040267721,0.9011318242343542
bayes_hier,6008.0,0.0262329909598217,2.21195542293395,0.894474034620506
