alpha,val_RMSE_bps,val_MAE_bps
1000.0,294.36543831603274,198.66811827982337
231.0129700083158,295.0817434509351,199.22570859673698
53.366992312063125,295.49603137890836,199.55455680118274
12.32846739442066,295.9900625125498,199.85848583744524
2.848035868435799,296.50083097110337,200.1427958022163
0.6579332246575682,296.74666210838564,200.2859119783114
0.1519911082952933,296.8185881095665,200.32761661582074
0.03511191734215131,296.8362410536364,200.3378311104794
0.008111308307896872,296.8403780957111,200.3402219492687
0.001873817422860383,296.8413370016185,200.34077595028998
0.0004328761281083057,296.8415586924541,200.3409040219946
0.0001,296.84160991505274,200.34093361304113
