MAE,RMSE,MSE,MAE_bps,RMSE_bps,DirectionalAcc,Corr,model,split,n,OOS_R2_vs_baseline
0.0124033400026999,0.0192095383281096,0.0003690063627791,124.0334000269998,192.09538328109608,0.0045336787564766,,baseline_zero,train,7720,
0.0197881322953578,0.0292585803974288,0.0008560645268728,197.8813229535783,292.58580397428835,0.0011574074074074,,baseline_zero,val,6048,
0.0165308309183346,0.0248334236530448,0.0006166989303316,165.30830918334644,248.33423653044875,0.0018308921438082,,baseline_zero,test,6008,
0.0123532708715181,0.0191764910458928,0.0003677378088332,123.53270871518156,191.76491045892848,0.538860103626943,0.025202531783927,baseline_ticker_mean,train,7720,
0.0197622158222107,0.0292562465258926,0.0008559279607838,197.6221582221076,292.562465258926,0.5221560846560847,0.0072442915535599,baseline_ticker_mean,val,6048,
0.0164712567134797,0.0247811795055366,0.0006141068576856,164.71256713479713,247.81179505536664,0.5426098535286284,0.0158463571022027,baseline_ticker_mean,test,6008,
0.0123317605280056,0.0191587997567645,0.0003670596081198,123.3176052800561,191.587997567646,0.5389896373056995,0.0497819937887213,baseline_ar1_per_ticker,train,7720,0.00184425070557
0.0197468274305041,0.0291924300077483,0.0008521979697572,197.4682743050416,291.9243000774836,0.5244708994708994,0.0698649220110033,baseline_ar1_per_ticker,val,6048,0.0043578328988113
0.0164735998468927,0.0247766638191397,0.0006138830700066,164.73599846892708,247.7666381913975,0.5421105193075899,0.0283727301723993,baseline_ar1_per_ticker,test,6008,0.0003644116266751
0.0123308758521165,0.0190800826753573,0.0003640495548984,123.30875852116534,190.80082675357363,0.5375647668393783,0.1032393924288559,linear_regression_base,train,7720,0.0100295750019256
0.0200340942502902,0.0296841625303609,0.0008811495051288,200.34094250290204,296.8416253036094,0.5079365079365079,-0.0397448704095184,linear_regression_base,val,6048,-0.0294669008382262
0.0174913032977931,0.0255108866261393,0.0006508053364517,174.9130329779312,255.1088662613936,0.4623834886817576,0.0531371418442489,linear_regression_base,test,6008,-0.059759109195443
0.0123292718587116,0.0190919927174175,0.0003645041859219,123.29271858711628,190.91992717417503,0.5389896373056995,0.098604641565077,ridge_regression_base,train,7720,0.0087932837842955
0.0198668118279823,0.0294365438316032,0.0008665101127499,198.6681182798233,294.36543831603274,0.52744708994709,-0.0063738391926925,ridge_regression_base,val,6048,-0.0123633675390246
0.0172240431935433,0.0253227741750172,0.0006412428919189,172.24043193543304,253.22774175017287,0.4583888149134487,0.0397939988612577,ridge_regression_base,test,6008,-0.0441878052551953
0.0063929278195206,0.0115604452101211,0.0001336438934562,63.92927819520619,115.604452101211,0.891580310880829,0.8801181542787624,random_forest_base,train,7720,0.6365783168169484
0.0212663718245182,0.0306781047790055,0.0009411461128316,212.6637182451828,306.78104779005554,0.5064484126984127,0.0402784805569328,random_forest_base,val,6048,-0.0995622949036543
0.0318625810303572,0.0381962539827104,0.0014589538183117,318.6258103035725,381.9625398271048,0.4557256990679094,0.0316565020670676,random_forest_base,test,6008,-1.3757328224766123
0.0123310374348056,0.0190787556141629,0.0003639989157849,123.31037434805668,190.7875561416296,0.5367875647668394,0.1039037491215632,linear_regression_plus_garch_sigma,train,7720,0.0101672793997361
0.0200304504527016,0.0296965014578014,0.0008818821988332,200.3045045270161,296.96501457801463,0.5128968253968254,-0.0430352282466233,linear_regression_plus_garch_sigma,val,6048,-0.0303229234685058
0.0174532262140796,0.0254861031825139,0.0006495414554297,174.53226214079604,254.8610318251395,0.4633821571238349,0.0504512970523471,linear_regression_plus_garch_sigma,test,6008,-0.0577010292274844
0.0123290638869134,0.0190915674488009,0.0003644879476521,123.29063886913482,190.91567448800984,0.5391191709844559,0.0988771879560464,ridge_regression_plus_garch_sigma,train,7720,0.0088374409784046
0.019866591762984,0.0294387729446587,0.0008666413524871,198.6659176298404,294.38772944658746,0.5276124338624338,-0.0073312620676061,ridge_regression_plus_garch_sigma,val,6048,-0.0125166978930775
0.0172187462463153,0.025320502797945,0.0006411278619407,172.1874624631539,253.2050279794508,0.4585552596537949,0.0391597776070285,ridge_regression_plus_garch_sigma,test,6008,-0.0440004926128778
0.0063840457187228,0.0115138101400525,0.0001325678239411,63.840457187228665,115.13810140052551,0.8992227979274612,0.8934297363768949,random_forest_plus_garch_sigma,train,7720,0.6395045035978214
0.0210597683666771,0.0304692058687786,0.000928372506274,210.5976836667717,304.6920586877866,0.5067791005291006,0.0492617965595442,random_forest_plus_garch_sigma,val,6048,-0.0846386013886879
0.0311781562064326,0.0375691413294998,0.0014114403802359,311.78156206432607,375.69141329499854,0.4560585885486019,0.0323415031678077,random_forest_plus_garch_sigma,test,6008,-1.2983628379516805
0.013545261695981,0.0201114900410175,0.0004044720262754,135.45261695981026,201.11490041017527,0.5438689217758985,0.1234561791703995,gru_base,train,7568,-0.0998924139968526
0.0521294064819812,0.0673886761069297,0.004541234113276,521.2940648198128,673.8867610692978,0.5217096336499322,0.0303334375280418,gru_base,val,5896,-4.305626549595878
0.0681071132421493,0.0836933851242065,0.0070045827887952,681.0711324214935,836.9338512420654,0.5076844262295082,-3.4044803542715115e-05,gru_base,test,5856,-10.40613022169014
0.0124539518728852,0.0188381560146808,0.0003548761014826,124.53951872885229,188.38156014680865,0.553646934460888,0.2373336987676893,gru_plus_garch_sigma,train,7568,0.0349752107115604
0.0432542525231838,0.0582182072103023,0.0033893594518303,432.5425252318382,582.1820721030235,0.5011872455902306,0.0153253043059796,gru_plus_garch_sigma,val,5896,-2.9598653240941366
0.0696471333503723,0.0869215503334999,0.0075553557835519,696.4713335037231,869.2155033349991,0.4812158469945355,-0.0082262920105618,gru_plus_garch_sigma,test,5856,-11.302998556351609
0.0123326079919934,0.0192320784018713,0.0003698728396557,123.32607991993429,192.32078401871368,0.5397727272727273,0.0666092436256156,gru_plus_garch_sigma_v2,train,7568,0.003331632147378
0.0197806879878044,0.0293403332965519,0.0008608551579527,197.80687987804413,293.4033329655196,0.5201719576719577,0.0218086431933879,gru_plus_garch_sigma_v2,val,6048,-0.0057565542106081
0.0165323335677385,0.0248403103789549,0.0006170410197228,165.32333567738533,248.40310378955,0.5272969374167776,-0.0134802939359503,gru_plus_garch_sigma_v2,test,6008,-0.0047779325809285
0.012296387925744,0.0191917984320351,0.0003683251270558,122.96387925744057,191.9179843203519,0.5438689217758985,0.1002039421678481,gru_base_v2,train,7568,
0.0197975616902112,0.0293706362734717,0.0008626342751085,197.97561690211296,293.70636273471774,0.5198412698412699,0.0085267443237496,gru_base_v2,val,6048,
0.016508487984538,0.0247952669569644,0.0006148052634671,165.08487984538078,247.95266956964448,0.5266311584553928,0.0207959609051316,gru_base_v2,test,6008,
0.0124081056565046,0.0193153548750066,0.0003730829339474,124.08105656504632,193.1535487500667,0.5375264270613108,-0.0240509473496844,lstm_base_v1,train,7568,-0.0145351524533297
0.019765056669712,0.029258833465983,0.0008560793357901,197.65056669712067,292.58833465983014,0.521494708994709,0.0441954981158563,lstm_base_v1,val,6048,-0.0001768548444063
0.0166748445481061,0.0249334111147231,0.0006216749898158,166.74844548106194,249.33411114723177,0.5426098535286284,-0.0233649155930431,lstm_base_v1,test,6008,-0.0123238033177541
0.012375553138554096,0.01926414942964086,0.00037110745324753225,123.75553138554096,192.64149429640858,0.5373942917547568,0.02860628242482839,cnn1d_base_v1,train,7568,-0.009163170969620493
0.01977955922484398,0.02927931716425342,0.0008572784136049449,197.7955922484398,292.7931716425342,0.5219907407407407,0.020552824140230352,cnn1d_base_v1,val,6048,-0.0015777645818559893
0.016513455659151077,0.024821856097031438,0.0006161245401017368,165.13455659151077,248.21856097031437,0.5426098535286284,0.0035003944704564576,cnn1d_base_v1,test,6008,-0.0032855559108082577
